wave,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2022,14.046497286739509,0.0,0.0,-0.6168149947933788,0.0,,4.844187086458591,17.0,0.0,True,True
2022,13.004580341747946,0.0,0.0,0.8116200598376241,1.0,,2.8903717578961645,56.0,0.0,True,True
2022,13.63671936210626,0.0,0.0,1.2877650780479581,1.0,,5.19295685089021,28.0,0.0,True,True
2022,15.453119347365071,0.0,0.0,0.8116200598376241,0.0,,3.5553480614894135,48.0,0.0,True,True
2022,14.914122846632385,0.0,0.0,2.240055114468627,1.0,,4.605170185988092,31.0,0.0,True,True
2022,12.676076274775909,0.95,0.9025,-0.6168149947933788,1.0,,3.2188758248682006,6.0,0.0,True,True
2022,14.467835744003965,0.0,0.0,-0.6168149947933788,1.0,,5.598421958998375,110.0,0.0,True,True
2022,16.121341659020505,0.0,0.0,0.8116200598376241,1.0,,4.356708826689592,25.0,0.0,True,True
2022,14.682611045647658,0.0,0.0,-0.6168149947933788,1.0,,2.4849066497880004,27.0,0.0,True,True
2022,14.529725904557614,0.0,0.0,-0.6168149947933788,1.0,,1.791759469228055,14.0,0.0,True,True
2022,15.378117170714276,0.0,0.0,-0.6168149947933788,0.0,,5.030437921392435,22.0,0.0,True,True
2022,14.08588237844145,0.0,0.0,-0.6168149947933788,0.0,,4.127134385045092,27.0,0.0,True,True
2022,13.898892166903325,0.0,0.0,2.240055114468627,1.0,,5.438079308923196,40.0,0.0,True,True
2022,16.862536125905816,0.0,0.0,1.2877650780479581,1.0,,4.553876891600541,16.0,0.0,True,True
2022,13.561907799165356,0.0,0.0,-0.6168149947933788,1.0,,4.0943445622221,62.0,0.0,True,True
2022,13.815510557964274,0.0,0.0,0.8116200598376241,0.0,,5.393627546352362,19.0,0.0,True,True
2022,12.311433161188,0.0,0.0,1.2877650780479581,1.0,,2.1972245773362196,22.0,0.0,True,True
2022,13.304684934198283,1.0,1.0,-0.6168149947933788,1.0,,2.995732273553991,22.0,0.0,True,True
2022,16.20147725989737,0.0,0.0,-0.6168149947933788,1.0,,3.1354942159291497,14.0,0.0,True,True
2022,14.907393589214415,0.0,0.0,1.2877650780479581,1.0,,2.995732273553991,23.0,0.0,True,True
2022,16.60162229553653,0.0,0.0,-0.6168149947933788,0.0,,5.220355825078324,15.0,0.0,True,True
2022,13.586467284522875,0.0,0.0,-0.6168149947933788,0.0,,2.833213344056216,26.0,0.0,True,True
2022,13.815510557964274,1.0,1.0,2.240055114468627,1.0,,3.912023005428146,12.0,0.0,True,True
2022,16.312302814986257,0.0,0.0,-0.6168149947933788,1.0,,3.1354942159291497,25.0,0.0,True,True
2022,14.326336181730264,0.0,0.0,-0.6168149947933788,1.0,,3.4011973816621555,20.0,0.0,True,True
2022,15.027451531939388,0.0,0.0,-0.6168149947933788,1.0,,5.0106352940962555,27.0,0.0,True,True
2022,14.172185501903007,0.0,0.0,0.8116200598376241,1.0,,3.5553480614894135,35.0,0.0,True,True
2022,14.59203934746327,0.0,0.0,0.8116200598376241,1.0,,5.84354441703136,36.0,0.0,True,True
2022,14.06682498624518,1.0,1.0,0.8116200598376241,1.0,,4.248495242049359,17.0,0.0,True,True
