wave,state,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2025,1,15.901872542488684,0.0,0.0,-0.4720619403338053,0.0,0.7,2.8903717578961645,7.0,0.0,True,True
2025,15,14.636491110034104,0.0,0.0,-0.4720619403338053,1.0,0.6,5.393627546352362,20.0,0.0,True,True
2025,16,14.103192630416055,0.0,0.0,-0.4720619403338053,0.0,0.85,2.70805020110221,21.0,0.0,True,True
2025,4,14.254226212239216,0.0,0.0,-0.4720619403338053,1.0,0.35,3.044522437723423,34.0,0.0,True,True
2025,17,14.258363198144059,0.0,0.0,-0.4720619403338053,0.0,0.7,3.5553480614894135,10.0,0.0,True,True
2025,16,13.898892166903325,0.0,0.0,-0.4720619403338053,1.0,0.6,3.828641396489095,30.0,0.0,True,True
2025,16,14.103192630416055,0.0,0.0,-0.4720619403338053,1.0,0.7,4.0943445622221,20.0,0.0,True,True
2025,16,15.01948336229021,0.0,0.0,-0.4720619403338053,1.0,0.3,4.0943445622221,17.0,0.0,True,True
2025,22,15.39952589502141,0.0,0.0,2.930095606267258,1.0,0.8,5.634789603169249,43.0,0.0,True,True
2025,11,15.119285007742596,0.0,0.0,-0.4720619403338053,1.0,0.25,4.060443010546419,23.0,0.0,True,True
2025,8,15.01948336229021,0.0,0.0,1.2290168329667261,1.0,0.8,5.598421958998375,40.0,0.0,True,True
2025,14,14.914122846632385,0.0,0.0,-0.4720619403338053,0.0,0.8,3.912023005428146,15.0,0.0,True,True
2025,6,13.788068479398904,0.0,0.0,1.2290168329667261,1.0,0.5,4.060443010546419,65.0,0.0,True,True
2025,8,15.830413578506539,0.0,0.0,-0.4720619403338053,0.0,0.85,2.772588722239781,15.0,0.0,True,True
2025,23,15.313586597311092,0.0,0.0,2.930095606267258,1.0,0.75,5.365976015021851,10.0,0.0,True,True
2025,24,15.045280614413697,0.08,0.0064,4.631174379567789,1.0,0.64,4.962844630259907,46.0,0.0,True,True
2025,16,15.542731506054757,0.0,0.0,1.2290168329667261,1.0,0.85,4.382026634673881,25.0,0.0,True,True
2025,8,15.01948336229021,0.0,0.0,-0.4720619403338053,1.0,0.8,5.480638923341991,29.0,0.0,True,True
2025,7,15.648092021712584,0.4,0.16000000000000003,2.930095606267258,1.0,0.5,5.480638923341991,65.0,0.0,True,True
2025,1,16.51644329129762,0.0,0.0,1.2290168329667261,1.0,0.85,5.459585514144159,21.0,0.0,True,True
2025,15,15.24262691360442,0.0,0.0,-0.4720619403338053,1.0,0.75,2.4849066497880004,16.0,0.0,True,True
2025,20,14.508657738524219,0.0,0.0,-0.4720619403338053,0.0,0.4,2.302585092994046,18.0,0.0,True,True
2025,18,14.767490132246936,0.0,0.0,-0.4720619403338053,1.0,0.6,2.4849066497880004,9.0,0.0,True,True
2025,3,14.549479733044475,0.0,0.0,-0.4720619403338053,0.0,0.9,4.787491742782046,12.0,0.0,True,True
2025,11,15.329487509996458,0.0,0.0,-0.4720619403338053,0.0,0.6,3.9512437185814275,23.0,0.0,True,True
2025,1,15.424948470398375,0.0,0.0,-0.4720619403338053,0.0,0.9,3.044522437723423,15.0,0.0,True,True
2025,9,14.65403864750589,0.0,0.0,1.2290168329667261,1.0,0.6,5.521460917862246,25.0,0.0,True,True
2025,14,17.45128018676426,0.0,0.0,1.2290168329667261,1.0,0.6,4.976733742420574,34.0,0.0,True,True
2025,1,13.458835614025542,0.0,0.0,-0.4720619403338053,0.0,0.7,3.912023005428146,15.0,0.0,True,True
2025,14,16.223456166616145,0.0,0.0,1.2290168329667261,0.0,0.9,4.90527477843843,19.0,0.0,True,True
2025,16,15.424948470398375,0.0,0.0,1.2290168329667261,1.0,0.95,5.19295685089021,29.0,0.0,True,True
2025,16,14.614018254182046,0.0,0.0,-0.4720619403338053,0.0,0.85,2.8903717578961645,16.0,0.0,True,True
2025,3,13.304684934198283,0.0,0.0,-0.4720619403338053,1.0,0.8,4.382026634673881,21.0,0.0,True,True
