study_id,author,year,enrich_status,enrich_doi,corpus_doi,corpus_title,corpus_journal,corpus_year,n_candidates,title_overlap,match_confidence,agrees_enrich
S71,Berry & Kaul,2016,doi_mismatch_check,10.1002/smj.2429,10.1002/smj.2567,Replicating the multinationality‐performance relationship: Is there an S‐curve?,Strategic Management Journal,2016,1,0.0,candidate_unique,no
S72,Brida et al.,2016,author_year_guess,,10.1016/j.tmp.2015.12.016,The inverted-U relationship between the degree of internationalization and the performance: The case of Spanish hotel chains,Tourism Management Perspectives,2016,1,0.17,candidate_unique,no
S73,Cantele et al.,2016,author_year_guess,10.1242/jcs.183244,,,,,0,,no_corpus_match,no
S74,Miller et al.,2016,title_corrected,10.1016/j.ibusrev.2015.12.003,10.1016/j.ibusrev.2015.12.003,"International intensity, diversity, and distance: Unpacking the internationalization–performance relationship",International Business Review,2015,1,1.0,confirmed_title,yes
S75,Mohr & Batsakis,2016,title_match,10.1007/s11575-016-0284-9,10.1007/s11575-016-0284-9,Internationalization Speed and Firm Performance: A Study of the Market-Seeking Expansion of Retail MNEs,Management International Review,2016,1,1.0,confirmed_title,yes
S76,Upadhyayula et al.,2016,author_year_guess,10.1039/c5sc90020d,,,,,0,,no_corpus_match,no
S77,Borda et al.,2017,title_match,10.1016/j.jbusres.2016.11.006,,,,,0,,no_corpus_match,no
S78,Buckley & Tian,2017,not_found,,,,,,0,,no_corpus_match,no
S79,Ganvir & Dwivedi,2017,author_year_guess,10.1007/s11666-017-0682-y,10.1108/ijoem-12-2014-0207,Internationalization and performance of Indian born globals,International Journal of Emerging Markets,2017,1,0.38,candidate_unique,no
S80,Jin et al.,2017,author_year_guess,10.1016/j.agrformet.2018.03.002,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,PLoS ONE,2016,4,0.0,candidate_multi,no
S81,Nosi et al.,2017,doi_mismatch_check,10.7433/s102.2017.04,10.14596/pisb.243,No need to choose between innovation and internationalization: when pursuing two strategies at a time leads to firm superior performance,Use Siena air (University of Siena),2017,1,0.27,candidate_unique,no
S82,Purkayastha et al.,2017,title_corrected,10.1016/j.jwb.2016.11.004,10.1007/s10490-016-9489-5,Business group heterogeneity and the internationalization-performance relationship: Evidence from Indian business groups,Asia Pacific Journal of Management,2016,4,0.58,candidate_multi,no
S83,Abdi & Aulakh,2018,not_found,,10.1057/s41267-018-0146-8,"Internationalization and performance: Degree, duration, and scale of operations",Journal of International Business Studies,2018,1,0.78,confirmed_title,no
S84,Booltink & Saka-Helmhout,2018,doi_mismatch_check,10.1111/jsbm.12393,10.1177/0266242617707566,The effects of R&amp;D intensity and internationalization on the performance of non-high-tech SMEs,International Small Business Journal Researching Entrepreneurship,2017,1,0.55,candidate_unique,no
S85,Cho & Lee,2018,author_year_guess,10.1016/s1470-2045(18)30578-3,10.1007/s11575-019-00381-y,Age Matters: The Contingency of Economic Distance and Economic Freedom in Emerging Market Firm’s Cross-Border M&amp;A Performance,Management International Review,2019,7,0.0,candidate_multi,no
S86,Pouresmaeili et al.,2018,author_year_guess,10.2147/tcrm.s138000,,,,,0,,no_corpus_match,no
S87,Hojnik et al.,2018,author_year_guess,10.17323/2500-2597.2017.3.103.111,10.1016/j.jclepro.2017.10.111,Internationalization and economic performance: The mediating role of eco-innovation,Journal of Cleaner Production,2017,1,0.78,confirmed_title,no
S88,Thi Ngoc Huynh et al.,2018,author_year_guess,10.1039/c9nj03556g,10.3390/jrfm12030144,"Internationalization, Strategic Slack Resources, and Firm Performance: The Case Study of Vietnamese Enterprises",Journal of risk and financial management,2019,6,0.0,candidate_multi,no
S89,Velez-Calle et al.,2018,doi_mismatch_check,10.1108/ijoem-11-2016-0298,,,,,0,,no_corpus_match,no
S90,Zhou,2018,doi_mismatch_check,10.1080/00036846.2017.1321839,10.1108/cms-04-2017-0098,Internationalization and performance: evidence from Chinese firms,Chinese Management Studies,2018,2,0.25,candidate_multi,no
S91,Sun et al.,2018,author_year_guess,10.1111/nph.15796,10.1057/s41267-018-0166-4,Network centrality and organizational aspirations: A behavioral interaction in the context of international strategic alliances,Journal of International Business Studies,2018,7,0.0,candidate_multi,no
S92,Feng et al.,2019,author_year_guess,10.18653/v1/2020.findings-emnlp.139,10.1108/ijoem-10-2019-0824,EMNC technological competence creation: key mechanisms and innovative performance,International Journal of Emerging Markets,2020,3,0.0,candidate_multi,no
S93,Juniati et al.,2019,author_year_guess,,,,,,0,,no_corpus_match,no
S94,Lee et al.,2019,author_year_guess,10.18653/v1/n19-1423,10.1177/1938965520958703,The Effect of Internationalization on Firm Performance: A Moderating Role of Heterogeneity in TMTs’ Nationality,Cornell Hospitality Quarterly,2020,10,0.5,candidate_multi,no
S95,Meyer et al.,2019,not_found,,10.18461/ijfsd.v10i4.22,Internationalization Strategies in the German Dairy Industry and their Influence on the Economic Performance of Firms,International journal on food system dynamics,2019,1,0.0,candidate_unique,no
S96,Tashman et al.,2019,author_year_guess,,10.1016/j.ibusrev.2019.03.003,Firm-specific assets and the internationalization–performance relationship in the U.S. movie studio industry,International Business Review,2019,1,0.21,candidate_unique,no
S97,Woo et al.,2019,author_year_guess,10.1136/ejhpharm-2018-001515,10.3390/joitmc5030052,Intangible Resources and Internationalization for the Innovation Performance of Chinese High-Tech Firms,Journal of Open Innovation Technology Market and Complexity,2019,6,0.0,candidate_multi,no
S98,Kim et al.,2020,author_year_guess,10.1002/mp.13784,10.3390/joitmc5030052,Intangible Resources and Internationalization for the Innovation Performance of Chinese High-Tech Firms,Journal of Open Innovation Technology Market and Complexity,2019,8,0.0,candidate_multi,no
S99,Phan et al.,2020,author_year_guess,10.5751/es-12625-260319,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,10,0.0,candidate_multi,no
S100,Tu et al.,2020,author_year_guess,10.2147/ijwh.s205231,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,13,0.0,candidate_multi,no
S101,Freixanet & Rialp,2021,author_year_guess,10.5093/anyes2022a15,10.1002/gsj.1412,"Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",Global Strategy Journal,2021,2,0.0,candidate_multi,no
S102,Kongkaew et al.,2021,author_year_guess,10.1038/s41598-020-79237-7,10.3390/ijfs9030037,Moderating Effects of Founders’ Role on the Influence of Internationalization on IPO Performance of Listed Companies in Thailand,International Journal of Financial Studies,2021,1,0.17,candidate_unique,no
S103,Nath et al.,2021,author_year_guess,10.7324/jabb.2022.105ed,10.17762/ijnpme.v10i03.127,Data Mining in Product Cycle Prediction of Company Mergers,International Journal of New Practices in Management and Engineering,2022,4,0.0,candidate_multi,no
S104,Tu et al.,2021,not_found,,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,17,0.0,candidate_multi,no
S105,Tu,2021,not_found,,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,17,0.0,candidate_multi,no
S106,Tu & Anh,2021,not_found,,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Decision Science Letters,2020,17,0.0,candidate_multi,no
S107,Song & Lee,2021,author_year_guess,10.1038/s41562-022-01410-x,10.7275/x78z-g422,Impacts of COVID-19 on the U.S. Restaurant Industry from the Global Perspective,Scholarworks (University of Massachusetts Amherst),2021,7,0.0,candidate_multi,no
S108,Wei & Lin,2021,author_year_guess,10.1016/j.jhydrol.2020.125287,10.1155/2021/5528972,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992–2017),Mathematical Problems in Engineering,2021,9,0.0,candidate_multi,no
S109,Purkayastha & Gupta,2022,doi_mismatch_check,10.1016/j.ibusrev.2021.101968,10.1007/s10490-022-09809-w,Business group affiliation and entrepreneurial orientation: Contingent effect of level of internationalization and firm’s performance,Asia Pacific Journal of Management,2022,1,0.5,candidate_unique,no
S110,Putri & Pan,2022,author_year_guess,10.34305/jmc.v1i02.266,,,,,0,,no_corpus_match,no
S111,Daniels & Bracker,1989,doi_mismatch_check,10.1017/mor.2020.39,,,,,0,,no_corpus_match,no
S112,"Geringer, Beamish & daCosta",1989,doi_mismatch_check,10.2991/aebmr.k.200127.085,,,,,0,,no_corpus_match,no
S113,"Kim, Hwang & Burgers",1993,doi_mismatch_check,10.1108/cr-03-2019-0028,,,,,0,,no_corpus_match,no
S114,Sullivan,1994,doi_mismatch_check,10.5267/j.dsl.2020.7.001,,,,,0,,no_corpus_match,no
S115,Ramaswamy,1995,doi_mismatch_check,10.1061/(asce)me.1943-5479.0000736,,,,,0,,no_corpus_match,no
S116,Delios & Beamish,1999,doi_mismatch_check,10.15678/eber.2021.090206,,,,,0,,no_corpus_match,no
S117,Lu & Beamish,2001,doi_mismatch_check,10.24136/oc.2021.003,10.1002/smj.184,The internationalization and performance of SMEs,Strategic Management Journal,2001,1,0.2,candidate_unique,no
S118,"Contractor, Kundu & Hsu",2003,doi_mismatch_check,10.1111/1467-8551.12560,,,,,0,,no_corpus_match,no
S119,"Bloodgood, Sapienza & Almeida",1996,doi_mismatch_check,10.1155/2021/5528972,,,,,0,,no_corpus_match,no
S120,Pangarkar & Yuan,2009,doi_mismatch_check,10.1371/journal.pone.0263674,,,,,0,,no_corpus_match,no
S121,"Gaur, Kumar & Singh",2014,doi_mismatch_check,10.1007/s11575-022-00464-3,10.1007/s11575-015-0240-0,International Diversification of Emerging Market Firms: The Role of Ownership Structure and Group Affiliation,Management International Review,2015,1,0.17,candidate_unique,no
S122,Luo & Tung,2015,doi_mismatch_check,10.2307/1556420,10.1016/j.jwb.2015.06.001,How valuable is information and communication technology? A study of emerging economy enterprises,Journal of World Business,2015,1,0.06,candidate_unique,no
S123,"García-García, García-Canal & Guillén",2017,not_found,,10.1016/j.jwb.2016.09.005,Rapid internationalization and long-term performance: The knowledge link,Journal of World Business,2016,1,0.1,candidate_unique,no
S124,"Klier, Schwens, Zapkau & Dikova",2017,doi_mismatch_check,10.2307/1556406,,,,,0,,no_corpus_match,no
S125,Arte & Larimo,2022,doi_mismatch_check,10.1016/j.jwb.2006.08.004,10.1111/caje.12626,Internationalization strategies of multi‐product firms: The role of technology,Canadian Journal of Economics/Revue canadienne d économique,2022,2,0.14,candidate_multi,no
