study_id,wos_id,authors,year,title,journal,doi,screen_l1,screen_l1_reason
S0477,000330258700004,"Lee, Seoki; Upneja, Arun; Ozdemir, Ozgur; Sun, Kyung-A",2014,A synergy effect of internationalization and firm size on performance US hotel industry,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,,Y,ip_perf_match
S0479,000333778800012,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",2014,The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,,Y,ip_firm_match
S0481,000330967400004,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Lange, Sandra",2014,"Added Psychic Distance Stimuli and MNE Performance Performance Effects of Added Cultural, Governance, Geographic, and Economic Distance in MNEs' International Expansion",JOURNAL OF INTERNATIONAL MANAGEMENT,,Y,ip_perf_match
S0483,000333721000009,"Sanchez-Sellero, Pedro; Rosell-Martinez, Jorge; Manuel Garcia-Vazquez, Jose",2014,Absorptive capacity from foreign direct investment in Spanish manufacturing firms,INTERNATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S0486,000332548800006,"Cincera, Michele; Ravet, Julien",2014,"Globalisation, industrial diversification and productivity growth in large European R&D companies",JOURNAL OF PRODUCTIVITY ANALYSIS,,Y,ip_perf_match
S0487,000340016100008,"Huang, Kai-Ping; Lo, Sheng Chung; Liu, Chu-Mei; Tung, Jane",2014,Internationalisation of Family Business: The Effect of Ownership and Generation Involvement,ANTHROPOLOGIST,,Y,ip_firm_match
S0490,000334089100020,"Buch, Claudia M.; Koch, Catherine T.; Koetter, Michael",2014,Should I stay or should I go? Bank productivity and internationalization decisions,JOURNAL OF BANKING & FINANCE,,Y,ip_perf_match
S0496,000335630000007,"Conti, Giuliano; Lo Turco, Alessia; Maggioni, Daniela",2014,Spillovers through backward linkages and the export performance of business services. Evidence from a sample of Italian firms,INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S0497,000335616500029,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",2014,Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,WORLD DEVELOPMENT,,Y,ip_perf_match
S0499,000338613100010,"Lin, Wen-Ting",2014,How do managers decide on internationalization processes? The role of organizational slack and performance feedback,JOURNAL OF WORLD BUSINESS,,Y,ip_perf_match
S0503,000338613100002,"Jimenez, Alfredo; Luis-Rico, Isabel; Benito-Osorio, Diana",2014,The influence of political risk on the scope of internationalization of regulated companies: Insights from a Spanish sample,JOURNAL OF WORLD BUSINESS,,Y,ip_firm_match
S0514,000341556400010,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",2014,Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,,Y,ip_firm_match
S0515,000345467100008,"Ataullah, Ali; Le, Hang; Sahota, Amandeep S.",2014,"EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY EMERGING MARKET FIRMS",HUMAN RESOURCE MANAGEMENT,,Y,ip_perf_match
S0516,000343391300011,"Amendolagine, Vito; Capolupo, Rosa; Ferri, Giovanni",2014,"Innovativeness, offshoring and black economy decisions. Evidence from Italian manufacturing firms",INTERNATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S0519,000344735700006,"Chen, Ying-Yu; Jaw, Yi-Long",2014,"How do business groups' small world networks effect diversification, innovation, and internationalization?",ASIA PACIFIC JOURNAL OF MANAGEMENT,,Y,ip_firm_match
S0521,000344871500008,"Lyles, Marjorie; Li, Dan; Yan, Haifeng",2014,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,MANAGEMENT AND ORGANIZATION REVIEW,,Y,ip_perf_match
S0572,000352863700014,"Cheng, Cheng-Ping; Liang, Lien-Wen; Huang, Chen-Ta",2014,Effect of Internationalization on the Cost Efficiency of Taiwan's Banks,EMERGING MARKETS FINANCE AND TRADE,,Y,ip_perf_match
S0589,000355509900006,"Angeles Diaz-Mayans, M.; Sanchez-Perez, Rosario",2014,"Innovation, Exports and Technical Efficiency in Spain","DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,Y,ip_perf_match
S0355,000415021700003,"Polat, Inci; Mutlu, Hanifi Murat",2013,DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRATEGIC ORIENTATIONS,LOGFORUM,,Y,ip_firm_match
S0359,000212667900005,"Yildiz, Harun Emre",2013,Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,,Y,ip_perf_match
