study_id,wos_id,authors,year,title,journal,screen_l1,screen_l1_reason,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
S2174,001744002000001,"Theodosiou, Marios; Katsikea, Evangelia; Alarape, Oluyomi; Rethore, Christophe; Makri, Katerina",2026,Enhancing agility and international performance through learning processes and digitalization capabilities in Nigerian SMEs,JOURNAL OF BUSINESS RESEARCH,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,4,,
S2179,001760359600001,"Barbosa, Paulo Henrique; Amador, Joao; Arranhado, Esmeralda",2026,Export Promotion With Matchmaking and Grants: Evidence From Portuguese Firms,WORLD ECONOMY,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1718,000960793400001,"Fuertes-Callen, Yolanda; Cuellar-Fernandez, Beatriz; Serrano-Cinca, Carlos",2025,The role of organisational factors and environmental conditions on the success of newly founded firms,JOURNAL OF MANAGEMENT & ORGANIZATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1773,001062039000001,"Mushtaq, Rizwan; Murtaza, Ghulam; Yahiaoui, Dorra; Vijay, Pereira; Talpur, Qurat-ul-Ain",2025,Are born global firms environmentally more responsible? Evidence from the East Asia and Pacific region,ASIA PACIFIC JOURNAL OF MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1828,001155955600001,"Clemente-Ciscar, Vicent; Yague-Perales, Rosa Maria; March-Chorda, Isidre",2025,The effect of science parks on company growth: a fsQCA analysis of tenant profile,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1833,001159918000003,"Vendrell-Herrero, Ferran; Gomes, Emanuel; Darko, Christian K.; Lehman, David W.",2025,When do firms learn? Learning before versus after exporting,SMALL BUSINESS ECONOMICS,UNSURE,title_insufficient,UNSURE,WEAK-INCL:exporter,,,
S1842,001173220000001,"Yang, Lixiong; Yao, Liangyan; Wu, Jianzu",2025,Is there a state-dependent optimal interval for firms' R&D investment? Evidence from China,APPLIED ECONOMICS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1878,001248161500001,"Pla-Barber, Jose; Villar, Cristina; Callejas, Ramon Javier Mesa; Botella Andreu, Ana",2025,FDI spillovers on Colombian Multilatinas: Upgrading capabilities through indirect ties and humbleness,BRQ-BUSINESS RESEARCH QUARTERLY,UNSURE,title_insufficient,Y,INCL:FDI,,FDI,
S1885,001254911800001,"Jiang, Fuxiu; Kim, Kenneth A.; Nofsinger, John R.; Zhu, Bing",2025,Foreign corporations as large shareholders,JOURNAL OF FINANCIAL RESEARCH,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1919,001306162500001,"Rivas, Jose Luis; Lopez-Iturriaga, Felix; Semadeni, Mathew",2025,The influence of foreignness on CEO pay,MANAGEMENT RESEARCH-THE JOURNAL OF THE IBEROAMERICAN ACADEMY OF MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1930,001321490000001,"Wasi, Khushnuma; Hasan, Zuby; Parameswar, Nakul; Patnaik, Jayshree; Ganesh, M. P.",2025,Analyzing factors influencing competitiveness of Indian tech start-ups: modified total interpretive structural model (m-TISM) approach,INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1932,001326598400001,"Izharuddin, Muhammad; Sukoco, Badri Munir",2025,Strategic alliances and global competitive actions: Unveiling collaborative pathways in higher education ranking,INDUSTRY AND HIGHER EDUCATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1936,001336227000001,"Wang, Kai; Ding, Ning; Wang, Chenbo",2025,Supply chain finance and outward foreign direct investment,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,UNSURE,title_insufficient,Y,INCL:FDI,,FDI,
S1938,001347407100001,"Chiao, Yu-Ching; Chang, Yu-Chen; Hsu, Yi-Jung; Lu, Chang Hong; Chang, Man-Ling",2025,Gender diversity in top management team and corporate social responsibility performance: examining the moderating nature of TMT international experience,GENDER IN MANAGEMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1941,001352679000001,"Pereira, Jose; Correia, Aldina; Braga, Alexandra; Alves, Wellington; Ratten, Vanessa; Braga, Vitor",2025,What innovation and technology delivers to internationalization? The case of European and Central Asia regions,JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES,UNSURE,title_insufficient,Y,INCL:internationalization,2,other,
S1942,001350494000001,"Jia, Songbo; Gao, Xin; Zhu, Xiaowen; Xu, Jianxiang; Liu, Yuanyuan",2025,THE INFLUENCE OF EXTERNAL ECONOMIC POLICY FLUCTUATION ON ENTERPRISE PRODUCTIVITY: BASED ON CHINESE-LISTED ENTERPRISES,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1943,001354276800001,"Frimpong, Kwabena; Adomako, Samuel; Nguyen, Nguyen Phong; Shuridah, Obaid",2025,Sustainability orientation and post-entry performance: The role of brand and market-oriented capabilities,BUSINESS STRATEGY AND THE ENVIRONMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1946,001355354200001,"Askarzadeh, Alireza; Yung, Kenneth; Askarzadeh, Fatemeh",2025,The effect of international diversification on investment efficiency,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,UNSURE,title_insufficient,Y,INCL:geo-diversification,,geographic_diversification,
S1947,001356952400001,"Sun, Kai; Kumbhakar, Subal C.; Lien, Gudbrand",2025,Productivity and growth decomposition: a novel single-index smooth-coefficient stochastic frontier approach,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1949,001361050200001,"Liu, Caixia; Chen, Xuesheng; Wang, Yuquan; Xiao, Shuwen; Liu, Chengyu; Liu, Feng",2025,Exploring the determinants of systematic risk through machine learning: evidence from Chinese listed companies,APPLIED ECONOMICS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1951,001365729800001,"Afrifa, Godfred Adjapong; Amankwah-Amoah, Joseph",2025,Beyond Labels: Unveiling the Interplay Between Identity and Name Changes in Firm Performance,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,UNSURE,title_insufficient,Y,INCL:firm-performance,,,firm_performance
S1952,001367842800001,"Liu, Yu",2025,When Should Sustainability Have A C-Suite Seat? An Empirical Study on the Environmental and Organizational Correlates of Chief Sustainability Officer Positions,BUSINESS STRATEGY AND THE ENVIRONMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1956,001371962100001,"Cui, Lin; Lew, Yong Kyu; Khan, Zaheer; Lu, Jiangyong",2025,International Entrepreneurial Spin-Offs: An Ambidextrous Approach to Internationalization,MANAGEMENT AND ORGANIZATION REVIEW,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S1958,001374439600001,"Saripalle, Madhuri; Gupta, Prachi",2025,Driving productivity: a comparison of the Indian automobile manufacturers and component suppliers,ASIAN JOURNAL OF TECHNOLOGY INNOVATION,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1959,001373431500001,"Sanchez-Famoso, Valeriano; Cano-Rubio, Myriam; Fuentes-Lombardo, Guadalupe",2025,Relational capital's contribution to international success: Evidence from family-owned wineries and olive oil mills in Spain,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
S1960,001376772300001,"Frey, Rainer; Goldbach, Stefan",2025,Internationalisation as a boost for many firms: evidence from Germany,REVIEW OF WORLD ECONOMICS,UNSURE,title_insufficient,Y,INCL:internationalization,1,other,
S1963,001378460300001,"Aliakbari, Aliasghar; Crick, James M.; Chen, Wei-Fen; Crick, Dave",2025,Unpacking the relationship between entrepreneurial marketing activities and small firm performance,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,UNSURE,title_insufficient,Y,INCL:firm-performance,,,firm_performance
S1965,001380773600003,"Arabiun, Abolghasem; Hosseini, Elahe; Ziyae, Babak; Tahami, Seyedeh Mahla",2025,The impact of Entrepreneurial Orientation and Digitalization on Performance Sustainability with the Mediation of Knowledge Management in Digital Start-Ups,INTERDISCIPLINARY JOURNAL OF MANAGEMENT STUDIES,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,,,
