study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes,doi,doi_source,doi_confidence
S126,S126,"Schmuck, Lagerström & Sallis",2022,0.06,500,Sweden/Multi,2010,2018,I,1,H,FOL,FSTS,ACC,1,0,MIR; reverse causality,10.1007/s11575-022-00464-3,references+tracker,high
S127,S127,"Bhandari, Zámborský, Ranta & Salo",2023,0.1,1500,Multi,2014,2021,MX,0,H,FOL,COMP,MIX,1,0,IBR; digital × intl,10.1016/j.ibusrev.2023.102135,tracker,medium
S128,S128,Kafouros et al.,2023,0.09,800,Multi,2014,2021,MX,0,H,FOL,GEO,ACC,1,0,GSJ; knowledge resources,10.1002/gsj.1479,references,medium
S129,S129_e1,"Freixanet, Renart & Segarra-Blasco",2022,0.08,892,Spain,2010,2017,II,2,M,FOL,EXP,ACC,1,0,IBR; SME capabilities,10.1002/gsj.1412,references,medium
S129,S129_e2,"Freixanet, Renart & Segarra-Blasco",2022,0.11,892,Spain,2010,2017,II,2,M,FOL,EXP,ACC,1,0,IBR; SME capabilities,10.1002/gsj.1412,references,medium
S130,S130,"Shin, Kim & Seol",2022,0.12,314,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,IBR; Korea conglomerates,10.35611/jkt.2021.25.7.1,retrieval_candidate,suggested
S131,S131,Dobbs & Hamilton,2007,0.03,220,USA/Multi,1998,2003,I,1,L,PRE,FSTS,ACC,1,0,IJME; SME performance,,,none
S132,S132,Almodovar & Rugman,2014,0.09,342,Spain/Multi,2004,2011,II,2,M,SPN,FSTS,ACC,1,0,MIR; regional strategy,10.1111/1467-8551.12048,references,medium
S133,S133,"Lin, Liu & Cheng",2011,0.07,246,Taiwan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,IJBM; Taiwan,10.1016/j.intman.2010.12.004,references,medium
S134,S134,Pinheiro-Alves,2011,0.11,186,Portugal,2004,2009,I,1,L,SPN,EXP,ACC,1,0,IJBM; Portuguese firms,,,none
S135,S135,Guo et al.,2020,0.08,1850,China,2013,2018,III,3,L,FOL,EXP,ACC,1,0,IMR; Chinese exporter,10.1177/0266242620965792,tracker,medium
S136,S136,"Hitt, Hoskisson & Kim",1997,0.14,295,USA,1980,1989,I,1,L,PRE,COMP,ACC,1,0,AMJ; innovation + intl div,10.2307/256948,references,medium
S137,S137_e1,Gomes & Ramaswamy,1999,0.08,311,Multi,1985,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; curvilinear test,10.1057/palgrave.jibs.8490065,retrieval_verified,medium
S137,S137_e2,Gomes & Ramaswamy,1999,-0.12,311,Multi,1985,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; curvilinear test,10.1057/palgrave.jibs.8490065,retrieval_verified,medium
S138,S138,Tallman & Li,1996,0.12,192,USA,1980,1988,I,1,L,PRE,GEO,ACC,1,0,AMJ; international + product div,10.2307/256635,references+tracker,high
S139,S139_e1,"Aulakh, Kotabe & Teegen",2000,0.09,163,EME,1990,1996,III,3,L,PRE,EXP,ACC,1,0,AMJ; Brazil/Chile/Mexico,,,none
S139,S139_e2,"Aulakh, Kotabe & Teegen",2000,0.17,163,EME,1990,1996,III,3,L,PRE,EXP,ACC,1,0,AMJ; Brazil/Chile/Mexico,,,none
S140,S140,"Kotabe, Srinivasan & Aulakh",2002,0.07,167,USA,1985,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; R&D moderates,10.1057/palgrave.jibs.8491006,tracker,medium
S141,S141,"Denis, Denis & Yost",2002,-0.06,3659,USA,1984,1997,I,1,L,PRE,GEO,MKT,1,0,JF; global vs industrial div,10.1111/0022-1082.00485,retrieval_verified,medium
S142,S142,Gomez-Mejia & Palich,1997,-0.08,356,Multi,1985,1994,I,1,L,PRE,COMP,ACC,1,0,JIBS; cultural distance negative,,,none
S143,S143_e1,Chang & Wang,2007,0.05,150,Taiwan,1996,2003,I,1,L,PRE,FSTS,ACC,1,0,JWB; product × intl div,10.1057/palgrave.abm.9200228,corpus_suggested,suggested
S143,S143_e2,Chang & Wang,2007,0.18,150,Taiwan,1996,2003,I,1,L,PRE,FSTS,ACC,1,0,JWB; product × intl div,10.1057/palgrave.abm.9200228,corpus_suggested,suggested
S144,S144,Pangarkar,2008,0.08,150,Singapore,2001,2004,I,1,M,SPN,GEO,ACC,1,0,JWB; SME Singapore,10.1016/j.jwb.2007.11.009,corpus_suggested,suggested
S145,S145_e1,"Zahra, Ireland & Hitt",2000,0.22,321,USA,1991,1994,I,1,L,PRE,GEO,ACC,1,0,AMJ; new ventures INV,10.1016/s0883-9026(99)00036-1,tracker,medium
S145,S145_e2,"Zahra, Ireland & Hitt",2000,0.31,321,USA,1991,1994,I,1,L,PRE,GEO,ACC,1,0,AMJ; new ventures INV,10.1016/s0883-9026(99)00036-1,tracker,medium
S146,S146_e1,Oh & Contractor,2012,-0.04,144,Global,2003,2007,I,1,M,FOL,FSTS,ACC,1,0,JIBS; territorial + product mod,10.1002/gsj.1031,tracker,medium
S146,S146_e2,Oh & Contractor,2012,0.16,144,Global,2003,2007,I,1,M,FOL,FSTS,ACC,1,0,JIBS; territorial + product mod,10.1002/gsj.1031,tracker,medium
S147,S147,"Qian, Li, Li & Qian",2008,0.11,1462,USA,1985,2002,I,1,M,SPN,GEO,ACC,1,0,JIBS; regional diversification,10.1057/palgrave.jibs.8400346,tracker,medium
S148,S148,Elango & Pattnaik,2007,0.09,794,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JIBS; networks → capabilities,10.1108/1525383x200600015,references,medium
S149,S149,Filatotchev & Piesse,2009,0.15,254,Europe,1996,2003,I,1,M,SPN,FSTS,MKT,1,0,JIBS; IPO firms R&D,10.1057/jibs.2009.18,tracker,review
S150,S150_e1,"Geringer, Tallman & Olsen",2000,0.07,172,Japan,1980,1989,I,1,L,PRE,FSTS,ACC,1,0,SMJ; Japan MNE div,,,none
S150,S150_e2,"Geringer, Tallman & Olsen",2000,-0.08,172,Japan,1980,1989,I,1,L,PRE,FSTS,ACC,1,0,SMJ; Japan MNE div,,,none
S151,S151,Michel & Shaked,1986,0.08,60,USA,1975,1983,I,1,L,PRE,GEO,ACC,1,0,JIBS; MNC vs domestic,,,none
S152,S152,Morck & Yeung,1991,0.04,1644,USA,1978,1988,I,1,L,PRE,GEO,MKT,1,0,JB; Tobin's Q intangibles,,,none
S153,S153_e1,Wan & Hoskisson,2003,0.09,244,Multi,1988,1997,I,1,L,PRE,GEO,ACC,1,0,AMJ; home country institutions,,,none
S153,S153_e2,Wan & Hoskisson,2003,0.13,244,Multi,1988,1997,I,1,L,PRE,GEO,ACC,1,0,AMJ; home country institutions,,,none
S154,S154,"Yiu, Lau & Bruton",2007,0.14,83,China,1998,2003,III,3,L,PRE,GEO,MIX,1,0,JIBS; EMNEs capabilities,10.1057/palgrave.jibs.8400364,corpus_suggested,suggested
S155,S155,"Luo, Zhao & Du",2005,0.22,207,China,1998,2003,III,3,L,PRE,FSTS,ACC,1,0,IMR; e-commerce speed,,,none
S156,S156_e1,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,0.06,1096,Europe,1993,2003,I,1,M,SPN,FSTS,ACC,1,0,IBR; competitive advantages,,,none
S156,S156_e2,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,0.09,1096,Europe,1993,2003,I,1,M,SPN,FSTS,ACC,1,0,IBR; competitive advantages,,,none
S157,S157,Boehe & Cruz,2010,0.18,168,Brazil,2000,2006,III,3,L,SPN,EXP,ACC,1,0,JBE; CSR differentiation,,,none
S158,S158,Singh & Gaur,2009,0.11,1247,Asia,2000,2006,III,3,L,SPN,GEO,MIX,1,0,CGR; BG affiliation India/China,10.1002/tie.20217,retrieval_candidate,suggested
S159,S159_e1,Fernández-Olmos & Díez-Vial,2015,0.12,261,Spain,2004,2011,I,1,H,FOL,FSTS,ACC,1,0,EMJ; Iberian ham sector,10.1016/j.brq.2015.07.001,tracker,medium
S159,S159_e2,Fernández-Olmos & Díez-Vial,2015,0.19,261,Spain,2004,2011,I,1,H,FOL,FSTS,ACC,1,0,EMJ; Iberian ham sector,10.1016/j.brq.2015.07.001,tracker,medium
S160,S160_e1,Lu & Beamish,2006,-0.09,1489,Japan SMEs,1986,1999,I,1,L,PRE,FSTS,ACC,1,0,JIE; SME growth vs profitability,10.1057/palgrave.jibs.8400282,retrieval_verified,medium
S160,S160_e2,Lu & Beamish,2006,0.09,1489,Japan SMEs,1986,1999,I,1,L,PRE,FSTS,ACC,1,0,JIE; SME growth vs profitability,10.1057/palgrave.jibs.8400282,retrieval_verified,medium
S161,S161_e1,"Contractor, Kumar & Kundu",2007,-0.33,103,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JWB; EME S-curve services,10.1016/j.jwb.2007.06.003,corpus_suggested,suggested
S161,S161_e2,"Contractor, Kumar & Kundu",2007,0.44,103,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JWB; EME S-curve services,10.1016/j.jwb.2007.06.003,corpus_suggested,suggested
S162,S162,Oh & Sohl,2017,0.08,139,USA,2003,2010,I,1,H,FOL,FSTS,ACC,1,0,MIR; turbulence moderates,10.1007/s11575-016-0284-9,retrieval_verified,medium
S163,S163,Ogasavara & Hoshino,2007,0.09,88,Japan,1995,2002,I,1,L,PRE,FDI,ACC,1,0,IBR; Japan subs in Brazil,,,none
S164,S164,"Gao, Murray, Kotabe & Lu",2010,0.13,105,China,2000,2005,III,3,M,SPN,FSTS,ACC,1,0,JIBS; strategy tripod China,,,none
S165,S165,Doukas & Kan,2006,-0.07,816,USA,1988,2001,I,1,L,PRE,GEO,MKT,1,0,JMFM; global diversification discount,,,none
S166,S166_e1,Castellacci,2015,0.1,3498,LatAm,2006,2011,III,3,M,FOL,EXP,LAB,1,0,IBR; institutional voids,,,none
S166,S166_e2,Castellacci,2015,0.16,3498,LatAm,2006,2011,III,3,M,FOL,EXP,LAB,1,0,IBR; institutional voids,,,none
S167,S167_e1,Reuber & Fischer,1997,0.14,49,Canada,1989,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; management intl exp SME,,,none
S167,S167_e2,Reuber & Fischer,1997,0.28,49,Canada,1989,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; management intl exp SME,,,none
S168,S168,"Zhou, Wu & Luo",2007,0.19,195,China,2000,2004,III,3,L,PRE,FSTS,ACC,1,0,JIBS; born-global social network,10.1057/palgrave.jibs.8400282,corpus_suggested,suggested
S169,S169_e1,"Isobe, Makino & Montgomery",2000,0.09,164,Japan/China,1989,1996,I,1,L,PRE,FDI,ACC,1,0,AMJ; JV resource commitment,,,none
S169,S169_e2,"Isobe, Makino & Montgomery",2000,0.15,164,Japan/China,1989,1996,I,1,L,PRE,FDI,ACC,1,0,AMJ; JV resource commitment,,,none
S170,S170,Shan & Song,1997,0.22,176,USA,1985,1991,I,1,L,PRE,GEO,MKT,1,0,JIBS; biotech FDI technology,,,none
S171,S171,"Buckley, Dunning & Pearce",1978,0.08,370,Multi,1962,1972,I,1,L,PRE,GEO,ACC,1,0,WA; earliest study in pool,,,none
S172,S172,"Oesterle, Richta & Fisch",2013,0.06,312,Germany,2000,2008,I,1,M,SPN,GEO,ACC,1,0,IBR; ownership structure,10.1504/ejim.2013.052834,tracker,medium
S173,S173_e1,"Nguyen, Almodóvar & Martínez-Noya",2018,0.13,187,Multi,2005,2012,I,1,H,FOL,FSTS,ACC,1,0,IBR; intra-regional sales,10.3390/jrfm12030144,retrieval_candidate,suggested
S173,S173_e2,"Nguyen, Almodóvar & Martínez-Noya",2018,0.21,187,Multi,2005,2012,I,1,H,FOL,FSTS,ACC,1,0,IBR; intra-regional sales,10.3390/jrfm12030144,retrieval_candidate,suggested
S174,S174,"Ogasavara, Hoshino & Alberton",2016,0.11,148,Brazil,2006,2012,III,3,M,FOL,GEO,ACC,1,0,MBR; intl experience Brazil,,,none
S175,S175,Jo & Roth,2015,0.17,198,Korea,2005,2012,I,1,M,FOL,FSTS,MIX,1,0,JIM; tech capability Korea,10.1111/jsbm.12241,retrieval_candidate,suggested
S176,S176,Khattak & Shah,2022,0.07,168,Pakistan,2014,2019,III,3,L,FOL,FSTS,ACC,1,0,IJOEM; org learning mediates,,,none
S177,S177,Lee & Yoon,2022,0.11,312,Korea,2013,2018,I,1,H,FOL,GEO,ACC,1,0,APJM; env uncertainty mod,10.1016/j.ibusrev.2022.102053,retrieval_verified,medium
S178,S178_e1,Lin & Liu,2022,0.09,452,Multi,2010,2017,MX,0,M,FOL,GEO,ACC,1,0,JIM; institutional env mod,10.1007/s10640-022-00717-7,tracker,medium
S178,S178_e2,Lin & Liu,2022,-0.06,452,Multi,2010,2017,MX,0,M,FOL,GEO,ACC,1,0,JIM; institutional env mod,10.1007/s10640-022-00717-7,tracker,medium
S179,S179,"Chen, Zhang & Li",2022,0.1,534,China,2014,2019,III,3,H,FOL,FSTS,ACC,1,0,EMFT; absorptive capacity mod,10.5539/jms.v12n2p67,retrieval_candidate,suggested
S180,S180,Wang & Xiang,2022,0.11,385,China SME,2015,2020,III,3,H,FOL,FSTS,ACC,1,0,IBR; sustainability orientation,10.1016/j.jwb.2021.101306,retrieval_verified,medium
S181,S181,Nguyen & Dinh,2022,0.07,428,Vietnam WBES,2015,2016,III,3,M,FOL,EXP,ACC,1,0,JABES; WBES wave,,,none
S182,S182,Vo & Nguyen,2021,0.06,212,Vietnam non-state,2015,2019,III,3,M,FOL,EXP,ACC,1,0,Cogent B&M; non-state firms,10.57110/jeb.v1i2.4497,retrieval_candidate,suggested
S183,S183,Kim & Kim,2023,0.12,276,Korea conglomerate,2015,2020,I,1,H,FOL,FSTS,MIX,1,0,JWB; digital transformation mod,10.5539/jms.v12n2p67,retrieval_candidate,suggested
S184,S184,Borkakoti & Dua,2023,0.09,421,India mfg,2015,2020,III,3,M,FOL,FSTS,ACC,1,0,JQE; manufacturing sector,,,none
S185,S185,Li & Li,2023,0.13,1243,China digital,2016,2021,III,3,H,FOL,FSTS,MKT,1,0,PBFJ; digital economy listed,10.1016/j.ibusrev.2021.101953,references,medium
S186,S186,"Torres, Kunc & O'Shannassy",2022,0.13,198,Multi SME,2014,2020,MX,0,H,FOL,COMP,ACC,1,0,IBR; dynamic capability SME,10.1057/s41267-022-00580-0,corpus_suggested,suggested
S187,S187,Cho & Lee,2023,0.14,204,Korea SME digital,2016,2021,I,1,H,FOL,FSTS,ACC,1,0,APJM; digital capability SME,10.33168/jsms.2023.0223,corpus_suggested,suggested
S188,S188,Do & Phan,2025,-0.045,380,India mfg,2013,2018,III,3,M,FOL,FSTS,ACC,1,0,IntechOpen; India WBES; FGLS; ROS; manager moderator; r confirmed Table 3,10.5772/intechopen.1011012,retrieval_candidate,suggested
S189,S189,Do & Phan,2026,0.07,4290,China mfg SME,2012,2024,III,3,H,FOL,FSTS,LAB,1,1,JFAR; WBES China 2012+2024; inverted-U TP=47.8%; β₁=+1.704,10.5772/intechopen.1011012,retrieval_candidate,suggested
S190,S190,"Phan, Ninh & Do",2021,-0.04,263,Turkey mfg,2013,2016,II,2,M,SPN,FSTS,ACC,1,1,IntechOpen; WBES Turkey; FGLS; manager experience moderator,10.5267/j.dsl.2020.7.001,references,medium
S191,S191,Phan et al.,2021,0.05,131,Poland mfg-svc,2013,2016,I,1,M,SPN,FSTS,ACC,1,1,IntechOpen; WBES Poland; inverted-U; female manager + fin.obstacles mods,10.5267/j.dsl.2020.7.001,references,medium
S192,S192,Tu & Huynh,2021,0.03,90,Ecuador mfg,2003,2017,MX,0,L,SPN,FSTS,ACC,1,1,RWE 12(1); panel; inverse S-curve; LatAm context,10.5267/j.dsl.2020.7.001,retrieval_candidate,suggested
S193,S193,García-Sánchez & Rama,2024,0.09,267,Spain mfg,2010,2017,II,2,H,SPN,FSTS,ACC,1,1,EBR 14(4); Bayesian; heterogeneous firm-level effects,,,none
S194,S194,Godbole,2024,0.08,120,India listed family,2015,2022,III,3,M,FOL,COMP,MIX,1,1,BSD 7(3); NIFTY500 family firms; GMM; financial+innovation,10.1002/bsd2.365,tracker,medium
S195,S195,Barłożewski & Trąpczyński (2021a),,0.06,200,Poland,2014,2019,I,1,M,FOL,FSTS,ACC,1,1,"EBER 9; full-sample n=200; see S236 for exporter-subsample (n=97, confirmed r)",,,none
S196,S196,Barłożewski & Trąpczyński (2021b),,0.04,200,Poland,2014,2019,I,1,M,FOL,FSTS,ACC,1,1,"OC 12; full-sample n=200; see S237 for larger-sample (n=304, confirmed r)",,,none
S197,S197,Calabrese & Manello,2018,0.08,300,Italy,2005,2015,II,2,M,SPN,FSTS,ACC,1,1,JPM; Italy policy evidence,10.1016/j.jpolmod.2018.01.008,references+tracker,high
S198,S198,Cao et al.,2022,0.07,400,China,2010,2020,III,3,H,FOL,FSTS,ACC,1,1,PLoS ONE; social networks China,10.1371/journal.pone.0263674,references,medium
S199,S199,Carr et al.,2010,0.05,150,Multi,2000,2007,MX,0,L,PRE,FSTS,ACC,1,1,SEJ; firm age at intl,10.1002/sej.90,references,medium
S200,S200,Chen & Hsu,2010,0.09,200,Taiwan,2001,2007,I,1,L,PRE,FSTS,MKT,1,1,IMM; resource allocation Taiwan,10.1016/j.indmarman.2009.10.001,references,medium
S201,S201,Cuervo-Cazurra et al.,2017,0.05,500,Multi,2006,2014,MX,0,M,SPN,FSTS,ACC,1,1,JWB; uncertainty management,10.1016/j.jwb.2017.11.002,references+corpus,high
S202,S202,Da Cunha et al.,2023,0.06,250,Multi-LatAm,2010,2020,III,3,M,FOL,FSTS,ACC,1,1,IJOEM; formal institutions,10.1016/j.ibusrev.2023.102135,retrieval_candidate,suggested
S203,S203,Debicki et al.,2020,0.05,300,Multi,2005,2015,MX,0,M,SPN,FSTS,ACC,1,1,CCSM; family firm I→P,10.1108/ccsm-04-2019-0075,references+tracker,high
S204,S204,Dikova & Veselova,2020,-0.04,200,Russia,2008,2016,III,3,M,SPN,COMP,ACC,1,1,MOR; Russia contingency,10.1017/mor.2020.39,references,medium
S205,S205,Elango,2012,0.1,250,USA/Multi,2000,2008,I,1,M,PRE,COMP,MKT,1,1,TIBR; tech-intensive industry,10.1002/tie.21491,references,review
S206,S206,Espinosa-Méndez & Jara,2021,0.04,150,Chile,2009,2018,III,3,M,FOL,GEO,ACC,1,1,SJFC; Chile family firm,10.1080/02102412.2021.1886453,references,review
S207,S207,Fu,2024,0.09,800,China,2012,2022,III,3,H,FOL,FSTS,MKT,1,1,FRL; R&D investment China,10.1016/j.frl.2024.105721,references,medium
S208,S208,Khatua et al.,2024,0.07,120,India,2015,2022,III,3,H,FOL,FSTS,ACC,1,1,JIE; INVs India,10.1007/s10843-023-00345-2,references+tracker,high
S209,S209,Lin et al.,2011,0.06,180,Taiwan,2001,2008,I,1,L,PRE,FSTS,MKT,1,1,JIM; firm behavior moderator,10.1016/j.intman.2010.12.004,references,medium
S210,S210,Manotas & Gonzalez-Perez,2020,0.05,150,Multi-LatAm,2010,2017,III,3,L,SPN,EXP,ACC,1,1,CR; LatAm SMEs,10.1108/cr-03-2019-0028,references,medium
S211,S211,Olmos & Díez-Vial,2015,0.07,200,Spain,2004,2010,II,2,M,SPN,EXP,ACC,1,1,EJM; SME intl paths Spain,10.1108/ejm-06-2012-0365,references,medium
S212,S212,"Phan, Tran & Lu",2020,0.03,90,Cameroon,2013,2018,FR,6,L,SPN,FSTS,ACC,1,1,DSL; W-shaped Cameroon,10.5267/j.dsl.2020.7.001,references,medium
S213,S213,Purkayastha et al.,2024,0.07,200,India,2014,2022,III,3,H,FOL,COMP,ACC,1,1,JIM; resource management India,10.1016/j.intman.2024.101122,references+tracker,high
S214,S214,Purkayastha et al.,2021,0.06,185,India,2010,2018,III,3,M,FOL,FSTS,ACC,1,1,JWB; EMNEs learning India,,,review
S215,S215,Rienda & Andreu,2021,0.04,200,Spain,2005,2018,II,2,M,SPN,FSTS,ACC,1,1,EJFB; family firms Spain,10.24310/ejfbejfb.v11i2.10591,references,review
S216,S216,Schmuck et al. (2022a),,0.08,400,Multi,2010,2019,MX,0,H,FOL,COMP,MKT,1,1,MIR; reverse P→M direction,,,none
S217,S217,Singla & George,2013,0.08,200,India,2004,2009,III,3,L,SPN,FSTS,ACC,1,1,JBR; India contextual analysis,10.1016/j.jbusres.2013.05.041,references,medium
S218,S218,Sun et al.,2019,0.09,600,USA,2003,2015,I,1,H,SPN,FSTS,MKT,1,1,JBR; longitudinal marketing cap,10.1016/j.jbusres.2018.08.014,references,medium
S219,S219,Tongurai & Vithessonthi,2022,0.06,350,Thailand,2010,2019,III,3,H,FOL,FSTS,ACC,1,1,GFJ; Thailand learning,10.1016/j.gfj.2022.100721,references+tracker,high
S220,S220,Tsionas & Tzeremes,2021,0.1,500,Multi,2008,2018,MX,0,H,FOL,COMP,LAB,1,1,BJM; large MNEs productivity,10.1111/1467-8551.12560,references+tracker,high
S221,S221,Vithessonthi & Racela,2016,0.05,400,Thailand,2000,2013,III,3,M,SPN,FSTS,ACC,1,1,JMFM; short/long-run Thailand,10.1016/j.mulfin.2015.12.001,references,medium
S222,S222,Wang et al.,2020,0.07,150,China construction,2005,2017,III,3,M,SPN,COMP,ACC,1,1,JMgmtEng; ENR-listed Chinese,10.1061/(asce)me.1943-5479.0000736,references,medium
S223,S223,Wei & Lin,2021,0.05,800,Taiwan,1992,2017,I,1,M,SPN,FSTS,MKT,1,1,MPE; long panel Taiwan,10.1155/2021/5528972,references,medium
S224,S224,Xiao et al.,2013,0.08,250,China,2004,2009,III,3,L,SPN,FSTS,ACC,1,1,JIM; China governance,10.1016/j.intman.2012.12.003,retrieval_verified,medium
S225,S225,Xiong et al.,2024,0.09,600,China,2010,2020,III,3,H,FOL,COMP,MKT,1,1,FRL; intl speed China,10.1016/j.frl.2024.106247,references,medium
S226,S226,Zeng et al.,2009,0.06,200,China,2003,2007,III,3,L,PRE,EXP,ACC,1,1,MD; China business factors,10.1108/00251740910938939,references+tracker,high
S227,S227,Ahsan & Sinha,2022,0.07,150,India,2010,2019,III,3,M,FOL,COMP,ACC,1,1,CCSM; knowledge-intensive India,10.1108/ccsm-07-2021-0119,references+tracker,high
S228,S228,Ruzzier & Ruzzier,2014,0.06,180,Slovenia,2005,2010,II,2,M,SPN,FSTS,ACC,1,1,JBEM; Slovenian SMEs,10.3846/16111699.2012.745812,references,medium
S229,S229,Azman et al.,2022,0.09,200,Malaysia,2010,2020,III,3,H,FOL,COMP,LAB,1,1,JMgmtEng; Malaysia construction,10.1061/(asce)me.1943-5479.0000985,references,medium
S230,S230,Bhandari et al.,2023,0.1,300,Multi,2014,2022,MX,0,H,FOL,FSTS,MKT,1,1,IBR; digitalization OLI,10.1016/j.ibusrev.2023.102135,tracker,medium
S231,S231,Hosseini et al.,2018,0.06,150,Sweden,2005,2015,II,2,M,SPN,EXP,ACC,1,1,FPE; Swedish wood SMEs,10.1016/j.forpol.2018.09.013,references+tracker,high
S232,S232,Huang & Marciano,2020,0.05,200,Multi,2010,2018,MX,0,M,SPN,FSTS,ACC,1,1,INSYMA conf.; Indonesia/China,10.2991/aebmr.k.200127.085,references,review
S233,S233,Kayaci,2022,0.06,200,Turkey,2015,2020,II,2,H,FOL,COMP,ACC,1,1,CumJourn; BIST-listed Turkey,10.37880/cumuiibf.1077104,references,medium
S234,S234,Yip et al.,2000,0.06,150,Multi,1992,1998,MX,0,L,PRE,COMP,ACC,1,1,JIM; newly internationalizing firms,10.1509/jimk.8.3.10.19635,references,medium
S235,S235,Freixanet & Rialp,2021,0.08,1500,Spain,2008,2016,II,2,M,FOL,EXP,MIX,1,1,GSJ; I→P with innovation mediator (distinct from S101 EMJ),10.1002/gsj.1412,references,medium
S236,S236,Barłożewski & Trąpczyński (2021a),,-0.1,97,Poland,2014,2019,MX,0,M,SPN,FSTS,ACC,1,0,EBER 9; exporter subsample n=97; r confirmed (see S195 for full-sample n=200 est.),,,none
S237,S237,Barłożewski & Trąpczyński (2021b),,-0.04,304,Poland,2014,2019,MX,0,M,FOL,FSTS,ACC,1,0,OC 12; larger-sample n=304; r confirmed (see S196 for n=200 est.),,,none
S238,E288,Srividhya et al.,2024,0.13,992,India,2005,2021,III,3,M,SPN,FSTS,ACC,1,0,"WoS-arm S0129; JEI 2024 v39(2); r=0.13** Table3 DOI-ROA corr experienced BGs; n≈992 firm-yr (72 firms, PROWESS 2005-2021); doi:10.11130/jei.2024033",10.11130/jei.2024033,tracker,medium
