study_id,effect_id,label,r_i,r_lo,r_hi,icrv,cdai,dpl,n,doi_type,fp_type
N254,N254_e1,Angel Zuniga-Vicente 2019,0.069,0.056,0.082,I,,SPN,23063,,ACC
S98,S98_e1,Kim et al. 2020,0.013,-0.115,0.14,I,H,FOL,236,FSTS,ACC
S98,S98_e2,Kim et al. 2020,-0.29,-0.403,-0.169,I,H,FOL,236,FSTS,ACC
N255,N255_e1,Likitwongkajon 2020,0.019,0.009,0.029,I,,SPN,42476,,ACC
S107,S107_e1,Song & Lee 2021,0.05,-0.251,0.342,I,H,FOL,44,FSTS,ACC
S107,S107_e2,Song & Lee 2021,0.14,-0.098,0.363,I,H,FOL,70,FSTS,ACC
S191,S191,Phan et al. 2021,0.05,-0.123,0.22,I,M,SPN,131,FSTS,ACC
S223,S223,Wei & Lin 2021,0.05,-0.019,0.119,I,M,SPN,800,FSTS,MKT
N249,N249_e1,Gkypali 2021,0.108,0.086,0.129,I,,FOL,8117,EXP,LAB
N256,N256_e1,Bertello 2021,0.133,0.013,0.249,I,,FOL,266,,MIX
Wei2021,Wei2021,Wei 2021,0.04,0.028,0.052,I,H,SPN,27062,FSTS,MKT
S126,S126,"Schmuck, Lagerström & Sallis 2022",0.06,-0.028,0.147,I,H,FOL,500,FSTS,ACC
S130,S130,"Shin, Kim & Seol 2022",0.12,0.009,0.228,I,H,FOL,314,FSTS,ACC
S177,S177,Lee & Yoon 2022,0.11,-0.001,0.218,I,H,FOL,312,GEO,ACC
S183,S183,Kim & Kim 2023,0.12,0.002,0.235,I,H,FOL,276,FSTS,MIX
S187,S187,Cho & Lee 2023,0.14,0.003,0.272,I,H,FOL,204,FSTS,ACC
Lehenchuk2023,Lehenchuk2023,Lehenchuk 2023,0.118,-0.018,0.249,I,H,FOL,210,FSTS,ACC
S195,S195,Barłożewski & Trąpczyński (2021a),0.06,-0.079,0.197,I,M,FOL,200,FSTS,ACC
S196,S196,Barłożewski & Trąpczyński (2021b),0.04,-0.099,0.178,I,M,FOL,200,FSTS,ACC
M2001,M2001,M. 2001,0.1,0.052,0.147,II,M,SPN,1684,OTHER,MIX
S14,S14_e1,Majocchi & Zucchella 2003,0.06,-0.073,0.191,II,L,PRE,220,EXP,ACC
S14,S14_e2,Majocchi & Zucchella 2003,0.11,-0.023,0.239,II,L,PRE,220,EXP,ACC
S28,S28_e1,Vilas-Boas & González 2007,-0.13,-0.241,-0.015,II,L,PRE,291,EXP,ACC
S28,S28_e2,Vilas-Boas & González 2007,0.17,0.056,0.28,II,L,PRE,291,EXP,ACC
Rasiah2009,Rasiah2009,Rasiah 2009,0.106,-0.083,0.288,II,M,SPN,110,FSTS,MIX
S37,S37,Ciszewska-Mlinaric & Mlinaric 2010,0.133,-0.111,0.362,II,L,SPN,67,EXP,ACC
S47,S47,Almodóvar 2012,0.018,-0.042,0.078,II,L,SPN,1067,EXP,ACC
S132,S132,Almodovar & Rugman 2014,0.09,-0.016,0.194,II,M,SPN,342,FSTS,ACC
S228,S228,Ruzzier & Ruzzier 2014,0.06,-0.087,0.204,II,M,SPN,180,FSTS,ACC
S68,S68,Benito-Osorio et al. 2015,-0.09,-0.127,-0.053,II,L,SPN,2748,EXP,ACC
S211,S211,Olmos & Díez-Vial 2015,0.07,-0.069,0.207,II,M,SPN,200,EXP,ACC
Parra2015,Parra2015,Parra 2015,0.128,0.084,0.171,II,H,FOL,1978,OTHER,MIX
S72,S72,Brida et al. 2016,-0.032,-0.247,0.186,II,L,SPN,82,FSTS,ACC
S73,S73,Cantele et al. 2016,0.04,-0.016,0.096,II,L,SPN,1231,EXP,ACC
N252,N252_e1,Boehe 2016,-0.142,-0.211,-0.072,II,,SPN,758,,ACC
BanyAriffin2016,BanyAriffin2016,Bany-Ariffin 2016,0.132,-0.086,0.338,II,H,FOL,83,OTHER,MIX
S81,S81,Nosi et al. 2017,0.305,0.161,0.436,II,L,SPN,169,EXP,ACC
S123,S123,"García-García, García-Canal & Guillén 2017",0.15,0.109,0.19,II,M,SPN,2256,GEO,ACC
S197,S197,Calabrese & Manello 2018,0.08,-0.034,0.192,II,M,SPN,300,FSTS,ACC
S231,S231,Hosseini et al. 2018,0.06,-0.101,0.218,II,M,SPN,150,EXP,ACC
PA2020,PA2020,P.A. 2020,-0.021,-0.142,0.1,II,H,FOL,263,OTHER,MIX
S101,S101_e1,Freixanet & Rialp 2021,0.066,0.006,0.126,II,M,FOL,1064,EXP,ACC
