"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"firmage",-0.41840978188887,0.0990444129357691,-4.22446627211785,2.46730016475938e-05,-0.612536831242977,-0.224282732534762,2974,0.141880404719922,"VNM_pooled","M5"
"foreign",0.277476085837968,0.0767492286090802,3.61535993086372,0.000304927289553178,0.127047597764171,0.427904573911765,2974,0.141880404719922,"VNM_pooled","M5"
"yr2015",0.55561228919153,0.0620210076119785,8.95845312071681,5.69043568569947e-19,0.434051114272052,0.677173464111008,2974,0.141880404719922,"VNM_pooled","M5"
"yr2023",1.14096046139211,0.061110916922749,18.6703214228386,1.23512016302569e-73,1.02118306422352,1.26073785856069,2974,0.141880404719922,"VNM_pooled","M5"
"FSTSc:TCI",-1.37497906237501,0.706241686424588,-1.9468959264299,0.0516415843433007,-2.75921276776721,0.0092546430171796,2974,0.141880404719922,"VNM_pooled","M5"
"FSTScsq:TCI",1.77523023085494,1.20865167733918,1.4687690954627,0.142001583013333,-0.593727056729853,4.14418751843974,2974,0.141880404719922,"VNM_pooled","M5"
"(Intercept)",21.557844636781,0.509363443337956,42.3231092037315,7.56918983844016e-143,20.5594922878386,22.5561969857234,371,0.185443193857463,"VNM2009_exp","M2"
"FSTSc",-1.91345379344961,0.634527071279572,-3.01555895730498,0.00274464605931253,-3.15712685315757,-0.669780733741647,371,0.185443193857463,"VNM2009_exp","M2"
"FSTScsq",1.04907950457421,0.906077235437548,1.15782569470207,0.247692238667646,-0.726831876883386,2.8249908860318,371,0.185443193857463,"VNM2009_exp","M2"
"lnEmp",-0.27278085733983,0.0529476396152164,-5.15189835320698,4.22984378831142e-07,-0.376558230985654,-0.169003483694006,371,0.185443193857463,"VNM2009_exp","M2"
"firmage",-0.277429803090552,0.197578761850187,-1.40414789774273,0.161125119405109,-0.664684176316918,0.109824570135814,371,0.185443193857463,"VNM2009_exp","M2"
"foreign",0.603878195656978,0.154683239303579,3.90396657308045,0.00011270549359886,0.300699046621963,0.907057344691993,371,0.185443193857463,"VNM2009_exp","M2"
"(Intercept)",21.2740642892029,0.501175204818446,42.4483575497506,1.29259620018214e-142,20.2917608877587,22.2563676906471,370,0.240155810384466,"VNM2009_exp","M4"
