economy,year,lp,fsts,tci,dai,lnsize,tci_z,dai_z,fc,fc2
Fiji,2025,10.584938693332882,0.0,1.0,1.0,6.063785208687608,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.002099841204238,0.0,0.5,0.0,1.6094379124341003,1.0152293123286167,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.496396163019018,0.0,1.0,0.0,4.804021044733257,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.008848068193954,0.0,0.0,0.0,2.1972245773362196,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.532096211958502,0.7,0.0,0.0,2.0794415416798357,-0.532015902330636,-0.8425683184703314,0.6377818371607515,0.4067656718121434
Fiji,2025,8.650724584040761,0.0,0.0,1.0,5.857933154483459,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.823080393274068,0.05,0.0,1.0,3.091042453358316,-0.532015902330636,1.186329104554967,-0.012218162839248432,0.0001492835031663913
Fiji,2025,11.289781913656018,0.0,0.0,1.0,1.6094379124341003,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.46310334047155,0.0,0.5,1.0,6.907755278982137,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.637456727616328,0.0,0.0,1.0,1.791759469228055,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.618285980628055,0.0,0.0,1.0,3.58351893845611,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.060940341227171,0.0,0.5,0.0,2.3978952727983707,1.0152293123286167,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.764239893251135,0.0,0.0,1.0,2.6390573296152584,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.736069016284437,0.0,0.0,0.0,4.787491742782046,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.470800538669558,0.0,0.5,1.0,2.0794415416798357,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.349173489170846,0.0,0.5,0.0,2.5649493574615367,1.0152293123286167,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.819778284410283,0.0,0.5,1.0,1.9459101490553132,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.512925464970229,0.0,0.0,0.0,1.791759469228055,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.675444394468004,1.0,0.0,0.0,2.833213344056216,-0.532015902330636,-0.8425683184703314,0.9377818371607516,0.8794347741085944
Fiji,2025,12.716898269296165,0.0,0.0,1.0,1.791759469228055,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,9.567015315914915,0.0,0.5,1.0,2.6390573296152584,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.953309677034806,0.0,1.0,1.0,1.9459101490553132,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.41431317630212,0.0,0.0,1.0,3.4011973816621555,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.819778284410283,0.0,1.0,1.0,4.787491742782046,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.442484053268815,0.0,0.5,1.0,1.9459101490553132,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.126631103850338,0.0,0.0,1.0,2.995732273553991,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,9.972480424023079,0.0,0.5,1.0,1.9459101490553132,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Kiribati,2025,8.411832675758411,0.0,0.0,0.0,2.0794415416798357,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,10.239959789157341,0.0,0.0,0.0,2.4849066497880004,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,7.600902459542082,0.0,0.0,0.0,0.6931471805599453,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,11.435735826279098,0.0,1.0,0.0,3.332204510175204,2.5624745269878693,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,9.914537388722714,0.0,0.0,0.0,2.1972245773362196,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,9.149315670138408,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,8.020160889782582,0.0,0.0,0.0,1.791759469228055,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,9.483416292038601,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Kiribati,2025,7.99799931797973,0.0,0.0,0.0,1.6094379124341003,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
