economy,year,lp_z,fsts,fsts_c,fsts_c2,fdi10,ln_age,tci_z,dai
Tonga,2024,0.5585008451208382,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.4849066497880004,-0.1649685178212683,0.0
Tonga,2024,-0.026249745680983764,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.995732273553991,-0.1649685178212683,0.0
Tonga,2024,-1.0243214778927137,0.05,-0.003731034482758619,1.3920618311533876e-05,0.0,1.3862943611198906,-0.1649685178212683,0.0
Tonga,2024,-0.7237325266714503,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.9444389791664403,-0.1649685178212683,1.0
Tonga,2024,1.2045660194242858,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.1354942159291497,-0.1649685178212683,0.0
Tonga,2024,-2.765749947683497,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.1972245773362196,-0.1649685178212683,0.0
Tonga,2024,0.9329510389595831,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.332204510175204,-0.1649685178212683,1.0
Tonga,2024,-0.8076728689499482,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.2188758248682006,-0.1649685178212683,0.0
Tonga,2024,-1.1632281916931488,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.833213344056216,-0.1649685178212683,0.0
Tonga,2024,1.3578280114786154,0.0,-0.05373103448275862,0.002887024066587396,1.0,2.995732273553991,-0.1649685178212683,1.0
Tonga,2024,-1.1307054561016712,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.791759469228055,-0.1649685178212683,0.0
Tonga,2024,1.0267883580526849,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,0.0
Tonga,2024,0.028716625840954878,0.2,0.1462689655172414,0.021394610273483952,0.0,2.0794415416798357,-0.1649685178212683,1.0
Tonga,2024,0.19191493677000285,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.995732273553991,-0.1649685178212683,0.0
Tonga,2024,2.02066957058342,0.0,-0.05373103448275862,0.002887024066587396,0.0,4.736198448394496,-0.1649685178212683,1.0
Tonga,2024,2.02066957058342,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.70805020110221,-0.1649685178212683,0.0
Tonga,2024,-1.4537380432533957,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.302585092994046,-0.1649685178212683,1.0
Tonga,2024,-1.165888282271783,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.772588722239781,-0.1649685178212683,1.0
Tonga,2024,-1.7727970740975127,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.2188758248682006,-0.1649685178212683,1.0
Tonga,2024,0.44203776725086424,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,1.0
Tonga,2024,-1.1307054561016712,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.4011973816621555,6.0213509004762935,1.0
Tonga,2024,0.004997254829009952,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.0986122886681098,-0.1649685178212683,0.0
Tonga,2024,0.2105694694388098,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,1.0
Tonga,2024,0.48511292715434573,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.3862943611198906,-0.1649685178212683,1.0
Tonga,2024,0.07559463968632542,0.1,0.046268965517241384,0.0021408171700356723,0.0,3.332204510175204,-0.1649685178212683,1.0
Tonga,2024,0.8502777636587112,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.332204510175204,-0.1649685178212683,1.0
Tonga,2024,1.610263213773023,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.5263605246161616,-0.1649685178212683,1.0
Tonga,2024,-0.7079558450286496,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.3862943611198906,-0.1649685178212683,1.0
Tonga,2024,-0.20402740705258338,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.091042453358316,-0.1649685178212683,1.0
Tonga,2024,1.0267883580526849,0.0,-0.05373103448275862,0.002887024066587396,0.0,4.31748811353631,-0.1649685178212683,0.0
Tonga,2024,-0.8951619760633643,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.791759469228055,-0.1649685178212683,1.0
Tonga,2024,0.29678284147074074,0.8,0.7462689655172414,0.5569173688941736,0.0,3.091042453358316,-0.1649685178212683,1.0
Tonga,2024,0.20082382634830814,0.3,0.24626896551724137,0.06064840337693222,1.0,2.772588722239781,-0.1649685178212683,1.0
Tonga,2024,1.5790162132630292,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.4849066497880004,-0.1649685178212683,0.0
Tonga,2024,0.0062729899104937694,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,0.0
Tonga,2024,0.4195941313204017,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.1354942159291497,-0.1649685178212683,0.0
Tonga,2024,-2.765749947683497,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,0.0
Tonga,2024,-0.7737657778613216,0.8,0.7462689655172414,0.5569173688941736,0.0,3.4339872044851463,-0.1649685178212683,1.0
Tonga,2024,1.1969420723631137,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.995732273553991,-0.1649685178212683,1.0
Tonga,2024,-0.17150467146110582,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.0794415416798357,-0.1649685178212683,1.0
Tonga,2024,-0.7562552622629278,0.5,0.4462689655172414,0.19915598958382877,0.0,1.3862943611198906,-0.1649685178212683,0.0
Tonga,2024,-0.7237325266714503,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.833213344056216,-0.1649685178212683,1.0
Tonga,2024,1.1082735477313383,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,1.0
Tonga,2024,0.0062729899104937694,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.0986122886681098,6.0213509004762935,0.0
Tonga,2024,0.136909223187951,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.791759469228055,-0.1649685178212683,1.0
Tonga,2024,0.15152791569061724,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.1649685178212683,1.0
Tonga,2024,0.06758757341211936,0.9,0.8462689655172414,0.7161711619976219,0.0,2.9444389791664403,-0.1649685178212683,1.0
Tonga,2024,-0.026249745680983764,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.0986122886681098,-0.1649685178212683,0.0
Tonga,2024,0.6712330353094842,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.5263605246161616,-0.1649685178212683,0.0
Tonga,2024,-0.5784776008913283,0.7,0.6462689655172413,0.41766357579072527,0.0,1.9459101490553132,-0.1649685178212683,1.0
Tonga,2024,-1.1307054561016712,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.8903717578961645,-0.1649685178212683,0.0
Tonga,2024,1.4012385518914297,0.3,0.24626896551724137,0.06064840337693222,0.0,3.5263605246161616,-0.1649685178212683,1.0
Tonga,2024,0.5017113689403004,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.3978952727983707,-0.1649685178212683,0.0
Tonga,2024,-0.7288477698499288,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.044522437723423,-0.1649685178212683,1.0
Tonga,2024,-2.496879170172458,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.3862943611198906,-0.1649685178212683,1.0
Tonga,2024,-0.10703485061498087,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.1649685178212683,0.0
Tonga,2024,1.9055818278816345,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.9444389791664403,-0.1649685178212683,1.0
Tonga,2024,0.15152791569061724,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.58351893845611,-0.1649685178212683,0.0
Tonga,2024,0.6876603469501875,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.5263605246161616,-0.1649685178212683,1.0
Tonga,2024,-1.1971352827817754,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.1649685178212683,0.0
Tonga,2024,0.11900518009913973,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.1649685178212683,0.0
Tonga,2024,-0.8476067871766689,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.302585092994046,-0.1649685178212683,1.0
Tonga,2024,0.18816408931917109,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.912023005428146,-0.1649685178212683,1.0
Tonga,2024,0.03506483782064324,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.1972245773362196,-0.1649685178212683,0.0
Tonga,2024,-1.4497644869457897,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,1.0
Tonga,2024,0.6801458286905278,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,0.0
Tonga,2024,-1.1307054561016712,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.4011973816621555,-0.1649685178212683,0.0
Tonga,2024,-1.6829333113120157,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.0986122886681098,-0.1649685178212683,0.0
Tonga,2024,-2.1738465830207354,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.1649685178212683,1.0
Tonga,2024,-1.0918345085305081,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.1354942159291497,-0.1649685178212683,1.0
Tonga,2024,-0.7357735073265651,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.302585092994046,-0.1649685178212683,1.0
Vanuatu,2009,0.33624250550228557,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.5263605246161616,-0.6087999364630081,1.0
Vanuatu,2009,-1.4451359343152814,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.4657359027997265,-0.6087999364630081,1.0
Vanuatu,2009,0.015185804821949476,0.01,-0.04373103448275862,0.0019124033769322235,1.0,3.4657359027997265,-0.6087999364630081,0.0
Vanuatu,2009,-1.138422224483084,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.9459101490553132,-0.6087999364630081,0.0
Vanuatu,2009,-0.41581374141268657,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.3862943611198906,-0.6087999364630081,0.0
Vanuatu,2009,0.34407543174908406,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.332204510175204,-0.6087999364630081,0.0
Vanuatu,2009,-2.0443674358021804,0.0,-0.05373103448275862,0.002887024066587396,0.0,0.0,-0.6087999364630081,0.0
Vanuatu,2009,-0.31260085078473093,0.1,0.046268965517241384,0.0021408171700356723,0.0,1.3862943611198906,-0.6087999364630081,0.0
Vanuatu,2009,-0.052140022193793274,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.1972245773362196,-0.6087999364630081,0.0
Vanuatu,2009,0.07075872074699409,0.0,-0.05373103448275862,0.002887024066587396,1.0,2.5649493574615367,-0.6087999364630081,0.0
Vanuatu,2009,0.07864994717187208,0.0,-0.05373103448275862,0.002887024066587396,1.0,2.8903717578961645,-0.6087999364630081,0.0
Vanuatu,2009,-0.20248727663600596,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.1354942159291497,-0.6087999364630081,0.0
Vanuatu,2009,0.17210382604977778,1.0,0.9462689655172414,0.8954249551010701,1.0,2.0794415416798357,1.629435124062757,1.0
Vanuatu,2009,0.16553305926416217,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.7376696182833684,-0.6087999364630081,0.0
Vanuatu,2009,-1.4894393421462007,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.0986122886681098,,0.0
Vanuatu,2009,2.091755105496069,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.4339872044851463,-0.6087999364630081,0.0
