"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"lnEmp",-0.229045758548643,0.104868682456633,-2.18411973129691,0.0311784685546654,-0.434588376163644,-0.0235031409336413,111,0.100555083791186,"SGP2023_exp","M2"
"firm_age",-0.330203297793524,0.24062976806472,-1.37224625385797,0.172911230404937,-0.801837643200375,0.141431047613326,111,0.100555083791186,"SGP2023_exp","M2"
"foreign",0.279798311430883,0.227122746486343,1.23192553700343,0.220728621539872,-0.16536227168235,0.724958894544116,111,0.100555083791186,"SGP2023_exp","M2"
"(Intercept)",12.8482858441995,0.685566279092412,18.7411286640422,5.76132120033829e-35,11.5045759371784,14.1919957512207,111,0.128347083662223,"SGP2023_exp","M4"
"FSTSc",1.15870638667117,1.29953428762523,0.891632023644865,0.37466840913802,-1.38838081707428,3.70579359041662,111,0.128347083662223,"SGP2023_exp","M4"
"FSTScsq",0.19233522637483,1.46987164367961,0.13085171565957,0.896147844821712,-2.68861319523721,3.07328364798687,111,0.128347083662223,"SGP2023_exp","M4"
"TCI",1.18252114390972,0.55678116641334,2.12385262872172,0.0360768403292197,0.0912300577395733,2.27381223007987,111,0.128347083662223,"SGP2023_exp","M4"
"lnEmp",-0.275826327172074,0.110295598741922,-2.50079178424403,0.0139679412995071,-0.49200570070624,-0.0596469536379072,111,0.128347083662223,"SGP2023_exp","M4"
"firm_age",-0.236666054185006,0.242988340534213,-0.973981112281738,0.332347794058939,-0.712923201632064,0.239591093262051,111,0.128347083662223,"SGP2023_exp","M4"
"foreign",0.234945364300252,0.239168567896409,0.982342146238939,0.328233165512244,-0.23382502877671,0.703715757377214,111,0.128347083662223,"SGP2023_exp","M4"
"FSTSc:TCI",-1.17250965790747,1.39855953001814,-0.838369502864321,0.403764580435073,-3.91368633674303,1.56866702092809,111,0.128347083662223,"SGP2023_exp","M4"
"(Intercept)",12.8478906958548,0.676784319677643,18.9837298564694,2.97222866063386e-35,11.5213934292866,14.174387962423,111,0.128347261171721,"SGP2023_exp","M5"
"FSTSc",1.16562604271149,1.95095065075778,0.597465672572878,0.551520610103429,-2.65823723277375,4.98948931819674,111,0.128347261171721,"SGP2023_exp","M5"
"FSTScsq",0.184448030642033,2.29912579930675,0.0802252885412573,0.93621527253595,-4.3218385359992,4.69073459728326,111,0.128347261171721,"SGP2023_exp","M5"
"TCI",1.1850364418128,0.603203762216528,1.96457070734817,0.0521845435732405,0.00275706786840746,2.3673158157572,111,0.128347261171721,"SGP2023_exp","M5"
"lnEmp",-0.275842826168564,0.110759875071817,-2.49045808321567,0.0143723661859244,-0.492932181309325,-0.0587534710278035,111,0.128347261171721,"SGP2023_exp","M5"
"firm_age",-0.236868096125758,0.256425634427089,-0.923730174851564,0.35780688575557,-0.739462339602852,0.265726147351336,111,0.128347261171721,"SGP2023_exp","M5"
"foreign",0.235062588934988,0.242200246962313,0.970529930845053,0.334078239453862,-0.239649895111145,0.709775072981122,111,0.128347261171721,"SGP2023_exp","M5"
"FSTSc:TCI",-1.19751416577861,5.26228422023396,-0.227565466945715,0.820439590657201,-11.5115912374372,9.11656290587995,111,0.128347261171721,"SGP2023_exp","M5"
"FSTScsq:TCI",0.0278978667914467,5.59894797400363,0.00498269798558206,0.996034130851281,-10.9460401622557,11.0018358958386,111,0.128347261171721,"SGP2023_exp","M5"
"(Intercept)",12.103456704052,0.847233088000587,14.2858640384494,6.84807779467976e-26,10.4428798515708,13.7640335565331,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"FSTSc",1.33514256729738,1.3238030376825,1.00856587369276,0.315617080047683,-1.25951138656033,3.92979652115508,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"FSTScsq",-0.610493098992769,1.43158445267483,-0.426445745378207,0.670699677120197,-3.41639862623543,2.19541242824989,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"TCI",1.1031658730367,0.654793847773495,1.68475295971062,0.0951548470121084,-0.180230068599346,2.38656181467275,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"IMR",0.523571134278423,0.530671713175087,0.986619639373313,0.32621033265048,-0.516545423544748,1.56368769210159,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"lnEmp",-0.219198112238068,0.10943829501858,-2.00293793137816,0.0478904622834464,-0.433697170474485,-0.00469905400165022,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"firm_age",-0.347066040810438,0.309213156675723,-1.12241679669022,0.264372992248367,-0.953123827894856,0.25899174627398,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"foreign",0.394622577469795,0.286252882404945,1.37858027543473,0.171100443483059,-0.166433072043898,0.955678226983488,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
"FSTSc:TCI",-0.259641254584321,1.27412249035383,-0.203780450113723,0.838939193746855,-2.75692133567782,2.23763882650918,109,0.0963287662981664,"SGP2023_Heckman","M_IMR"
