country,year,region,icrv_group,icrv_label,firm_id,ln_labor_prod,n3_sales_raw,l1_workers_raw,fsts,exporter,fsts_pct,dai_website,dai_epay,dai_epay_pct,dai_z,tci_cert,tci_foreign_tech,tci_z,mgr_experience,mgr_female,female_owner,foreign_own_pct,firm_age,size_strata,ln_size,isic_sector,legal_status,wstrict,wmedian
China,2024,East Asia,3,Upper_mid,1511713,13.997832114758229,18000000.0,15.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,20.0,1.0,1.0,,10.0,13.0,2.70805020110221,1,2,582.3901977539062,8392.787109375
China,2024,East Asia,3,Upper_mid,1511714,14.172185501903007,10000000.0,7.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,10.0,1.0,1.0,,10.0,14.0,1.9459101490553132,1,2,618.2953491210938,7151.3486328125
China,2024,East Asia,3,Upper_mid,1511715,12.75945788371496,8000000.0,23.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,15.0,0.0,0.0,,12.0,9.0,3.1354942159291497,1,2,605.8439331054688,4253.060546875
China,2024,East Asia,3,Upper_mid,1511716,,,6.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,15.0,0.0,0.0,,11.0,12.0,1.791759469228055,1,2,610.3313598632812,7076.90576171875
China,2024,East Asia,3,Upper_mid,1511717,15.24262691360442,25000000.0,6.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,30.0,0.0,0.0,,11.0,12.0,1.791759469228055,2,2,736.0685424804688,4719.82763671875
China,2024,East Asia,3,Upper_mid,1511718,12.979262533763656,13000000.0,30.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,1.0,,10.0,4.0,3.4011973816621555,1,2,54.89268112182617,414.9831848144531
China,2024,East Asia,3,Upper_mid,1511719,,,7.0,0.0,0,0.0,0.0,1.0,95.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,10.0,0.0,0.0,,10.0,10.0,1.9459101490553132,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511720,11.80060753742201,2000000.0,15.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,15.0,0.0,0.0,,6.0,10.0,2.70805020110221,1,2,866.1012573242188,7605.83837890625
China,2024,East Asia,3,Upper_mid,1511721,13.458835614025542,3500000.0,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,1.0,,14.0,14.0,1.6094379124341003,1,2,618.2953491210938,7151.3486328125
China,2024,East Asia,3,Upper_mid,1511722,,,9.0,0.3,1,30.0,1.0,1.0,100.0,0.6684759527978941,1.0,0.0,0.5189468355689744,14.0,0.0,0.0,,11.0,2.0,2.1972245773362196,1,2,214.43601989746094,1862.31884765625
