"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"lnEmp",0.0283756028357963,0.0247291566113956,1.14745534114659,0.25133540323858,-0.020093544122539,0.0768447497941317,1943,0.0835647802529135,"CHN2024","M5"
"firmage",-0.243093627707678,0.0753412256042339,-3.22656853214261,0.00127377944104129,-0.390762429891976,-0.0954248255233796,1943,0.0835647802529135,"CHN2024","M5"
"foreign",0.233353938506837,0.10779739310452,2.16474565651674,0.0305291458937748,0.0220710480219783,0.444636828991696,1943,0.0835647802529135,"CHN2024","M5"
"FSTSc:TCI",-0.144894611178405,1.05437472405296,-0.137422310942203,0.890711301396209,-2.21146907032221,1.9216798479654,1943,0.0835647802529135,"CHN2024","M5"
"FSTScsq:TCI",-0.619868176670618,1.53429964303863,-0.404007248181971,0.686252057545683,-3.62709547702633,2.3873591236851,1943,0.0835647802529135,"CHN2024","M5"
"(Intercept)",13.2932000640514,0.137862846037382,96.4233689216521,0,13.0229888858181,13.5634112422846,4628,0.0567383712400203,"CHN_pooled","M0"
"lnEmp",0.00694649479230135,0.0153816152635864,0.451610229047016,0.651570984610636,-0.0232014711243281,0.0370944607089308,4628,0.0567383712400203,"CHN_pooled","M0"
"firmage",-0.437125923810187,0.0541346847411964,-8.07478469487668,8.54782523981647e-16,-0.543229905902932,-0.331021941717442,4628,0.0567383712400203,"CHN_pooled","M0"
"foreign",0.222833176468759,0.0702886689654698,3.17025745043242,0.0015329886889218,0.0850673852964378,0.360598967641079,4628,0.0567383712400203,"CHN_pooled","M0"
"wave",0.434460090099456,0.039294396333602,11.0565406428686,4.56850301616085e-28,0.357443073285596,0.511477106913316,4628,0.0567383712400203,"CHN_pooled","M0"
"(Intercept)",13.4162446511425,0.140766942772559,95.3082050863284,0,13.1403414433083,13.6921478589767,4628,0.0605474409481876,"CHN_pooled","M2"
"FSTSc",0.936071001505331,0.201579457998174,4.64368250019707,3.51749293361209e-06,0.54097526382891,1.33116673918175,4628,0.0605474409481876,"CHN_pooled","M2"
"FSTScsq",-1.24985089171598,0.297563537544862,-4.20028240700541,2.71604676837247e-05,-1.83307542530391,-0.666626358128049,4628,0.0605474409481876,"CHN_pooled","M2"
"lnEmp",-0.00525121127956963,0.015831655841756,-0.331690590804756,0.74013794825361,-0.0362812567294115,0.0257788341702722,4628,0.0605474409481876,"CHN_pooled","M2"
"firmage",-0.438642159312693,0.054071510069427,-8.11226020411642,6.31087388058373e-16,-0.54462231904877,-0.332661999576616,4628,0.0605474409481876,"CHN_pooled","M2"
"foreign",0.186167153396747,0.0711964749262083,2.61483666978878,0.00895600939153397,0.0466220625413788,0.325712244252115,4628,0.0605474409481876,"CHN_pooled","M2"
"wave",0.438921049684266,0.0391493639022689,11.21144779721,8.40735444421309e-29,0.362188296435819,0.515653802932713,4628,0.0605474409481876,"CHN_pooled","M2"
"(Intercept)",13.1749258335418,0.14181550350018,92.9018725623683,0,12.8969674466815,13.4528842204022,4627,0.0826134662487918,"CHN_pooled","M3"
"FSTSc",0.603174687065056,0.202469012660696,2.97909630287908,0.00290604301038322,0.206335422250092,1.00001395188002,4627,0.0826134662487918,"CHN_pooled","M3"
"FSTScsq",-0.824342540275564,0.296706965850264,-2.77830531518959,0.00548639644313326,-1.40588819334208,-0.242796887209046,4627,0.0826134662487918,"CHN_pooled","M3"
"TCI",0.656198550499677,0.0593900726165219,11.0489602317329,4.96372025378504e-28,0.539794008171294,0.77260309282806,4627,0.0826134662487918,"CHN_pooled","M3"
"lnEmp",-0.0517227540751524,0.0157255049807021,-3.28909972294212,0.00101261397341292,-0.0825447438373286,-0.0209007643129762,4627,0.0826134662487918,"CHN_pooled","M3"
"firmage",-0.379477301506009,0.0538592764589495,-7.04571851787201,2.1175248554423e-12,-0.48504148336555,-0.273913119646468,4627,0.0826134662487918,"CHN_pooled","M3"
"foreign",0.152100576318048,0.069199791372942,2.19799183350604,0.0279991346941065,0.016468985227082,0.287732167409014,4627,0.0826134662487918,"CHN_pooled","M3"
